Player,Season,MVP_Points,GP,MPG,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,USG_PCT,OFF_RATING,DEF_RATING,NET_RATING,PIE,TEAM,TEAM_RECORD,PAST_MVP_WINNER
Shaquille O'Neal,1999-00,1207.0,79,40.1,29.7,13.6,3.8,0.5,3.0,57.4,0.0,52.4,,,,,,LAL,66-13,False
Kevin Garnett,1999-00,408.0,81,40.1,22.9,11.8,5.0,1.5,1.6,49.7,37.0,76.5,,,,,,MIN,50-31,False
Alonzo Mourning,1999-00,367.0,79,34.7,21.7,9.5,1.6,0.5,3.7,55.1,0.0,71.1,,,,,,MIA,50-29,False
Karl Malone,1999-00,312.0,82,35.9,25.5,9.5,3.7,1.0,0.9,50.9,25.0,79.7,,,,,,UTA,55-27,False
Tim Duncan,1999-00,248.0,74,38.9,23.2,12.4,3.2,0.9,2.2,49.0,9.1,76.1,,,,,,SAS,48-26,False
Gary Payton,1999-00,180.0,82,41.8,24.2,6.5,8.9,1.9,0.2,44.8,34.0,73.5,,,,,,SEA,45-37,False
Allen Iverson,1999-00,132.0,70,40.8,28.4,3.8,4.7,2.1,0.1,42.1,34.1,71.3,,,,,,PHI,42-28,False
Grant Hill,1999-00,113.0,74,37.6,25.8,6.6,5.2,1.4,0.6,48.9,34.7,79.5,,,,,,DET,40-34,False
Allen Iverson,2000-01,1121.0,71,42.0,31.1,3.8,4.6,2.5,0.3,42.0,32.0,81.4,,,,,,PHI,50-21,False
Tim Duncan,2000-01,706.0,82,38.7,22.2,12.2,3.0,0.9,2.3,49.9,25.9,61.8,,,,,,SAS,58-24,False
Shaquille O'Neal,2000-01,578.0,74,39.5,28.7,12.7,3.7,0.6,2.8,57.2,0.0,51.3,,,,,,LAL,51-23,False
Chris Webber,2000-01,521.0,70,40.5,27.1,11.1,4.2,1.3,1.7,48.1,7.1,70.3,,,,,,SAC,48-22,False
Kevin Garnett,2000-01,151.0,81,39.6,22.0,11.4,5.0,1.4,1.8,47.7,28.8,76.4,,,,,,MIN,47-34,False
Tim Duncan,2001-02,954.0,82,40.6,25.5,12.7,3.7,0.7,2.5,50.8,10.0,79.9,,,,,,SAS,58-24,False
Jason Kidd,2001-02,897.0,82,37.3,14.7,7.3,9.9,2.1,0.2,39.1,32.1,81.4,,,,,,NJN,52-30,False
Shaquille O'Neal,2001-02,696.0,67,36.2,27.2,10.7,3.0,0.6,2.0,57.9,0.0,55.5,,,,,,LAL,51-16,True
Tracy McGrady,2001-02,390.0,76,38.3,25.6,7.9,5.3,1.6,1.0,45.1,36.4,74.8,,,,,,ORL,43-33,False
Tim Duncan,2002-03,962.0,81,39.3,23.3,12.9,3.9,0.7,2.9,51.3,27.3,71.0,,,,,,SAS,60-21,False
Kevin Garnett,2002-03,871.0,82,40.5,23.0,13.4,6.0,1.4,1.6,50.2,28.2,75.1,,,,,,MIN,51-31,False
Kobe Bryant,2002-03,496.0,82,41.5,30.0,6.9,5.9,2.2,0.8,45.1,38.3,84.3,,,,,,LAL,50-32,False
